bin_left	bin_right	bin_center	count	observed_auc	p_value
0.0180995475113122	0.0397058823529411	0.0289027149321267	2	0.5067873303167421	0.3186813186813186
0.0397058823529411	0.0613122171945701	0.0505090497737556	3	0.5067873303167421	0.3186813186813186
0.0613122171945701	0.082918552036199	0.0721153846153846	4	0.5067873303167421	0.3186813186813186
0.082918552036199	0.104524886877828	0.0937217194570135	9	0.5067873303167421	0.3186813186813186
0.104524886877828	0.126131221719457	0.1153280542986425	8	0.5067873303167421	0.3186813186813186
0.126131221719457	0.1477375565610859	0.1369343891402714	10	0.5067873303167421	0.3186813186813186
0.1477375565610859	0.1693438914027149	0.1585407239819004	16	0.5067873303167421	0.3186813186813186
0.1693438914027149	0.1909502262443438	0.1801470588235294	18	0.5067873303167421	0.3186813186813186
0.1909502262443438	0.2125565610859728	0.2017533936651583	21	0.5067873303167421	0.3186813186813186
0.2125565610859728	0.2341628959276018	0.2233597285067873	31	0.5067873303167421	0.3186813186813186
0.2341628959276018	0.2557692307692307	0.2449660633484162	33	0.5067873303167421	0.3186813186813186
0.2557692307692307	0.2773755656108597	0.2665723981900452	33	0.5067873303167421	0.3186813186813186
0.2773755656108597	0.2989819004524887	0.2881787330316742	41	0.5067873303167421	0.3186813186813186
0.2989819004524887	0.3205882352941176	0.3097850678733032	35	0.5067873303167421	0.3186813186813186
0.3205882352941176	0.3421945701357466	0.3313914027149321	54	0.5067873303167421	0.3186813186813186
0.3421945701357466	0.3638009049773755	0.352997737556561	42	0.5067873303167421	0.3186813186813186
0.3638009049773755	0.3854072398190045	0.37460407239819	49	0.5067873303167421	0.3186813186813186
0.3854072398190045	0.4070135746606335	0.396210407239819	43	0.5067873303167421	0.3186813186813186
0.4070135746606335	0.4286199095022624	0.4178167420814479	45	0.5067873303167421	0.3186813186813186
0.4286199095022624	0.4502262443438914	0.4394230769230769	50	0.5067873303167421	0.3186813186813186
0.4502262443438914	0.4718325791855203	0.4610294117647059	55	0.5067873303167421	0.3186813186813186
0.4718325791855203	0.4934389140271493	0.4826357466063348	58	0.5067873303167421	0.3186813186813186
0.4934389140271493	0.5150452488687783	0.5042420814479638	37	0.5067873303167421	0.3186813186813186
0.5150452488687783	0.5366515837104072	0.5258484162895928	43	0.5067873303167421	0.3186813186813186
0.5366515837104072	0.5582579185520362	0.5474547511312218	36	0.5067873303167421	0.3186813186813186
0.5582579185520362	0.5798642533936652	0.5690610859728507	36	0.5067873303167421	0.3186813186813186
0.5798642533936652	0.6014705882352942	0.5906674208144798	34	0.5067873303167421	0.3186813186813186
0.6014705882352942	0.6230769230769231	0.6122737556561086	33	0.5067873303167421	0.3186813186813186
0.6230769230769231	0.6446832579185521	0.6338800904977375	26	0.5067873303167421	0.3186813186813186
0.6446832579185521	0.6662895927601811	0.6554864253393666	20	0.5067873303167421	0.3186813186813186
0.6662895927601811	0.68789592760181	0.6770927601809955	17	0.5067873303167421	0.3186813186813186
0.68789592760181	0.709502262443439	0.6986990950226244	13	0.5067873303167421	0.3186813186813186
0.709502262443439	0.7311085972850679	0.7203054298642535	12	0.5067873303167421	0.3186813186813186
0.7311085972850679	0.7527149321266968	0.7419117647058824	9	0.5067873303167421	0.3186813186813186
0.7527149321266968	0.7743212669683258	0.7635180995475113	10	0.5067873303167421	0.3186813186813186
0.7743212669683258	0.7959276018099548	0.7851244343891404	4	0.5067873303167421	0.3186813186813186
0.7959276018099548	0.8175339366515837	0.8067307692307693	3	0.5067873303167421	0.3186813186813186
0.8175339366515837	0.8391402714932127	0.8283371040723981	5	0.5067873303167421	0.3186813186813186
0.8391402714932127	0.8607466063348417	0.8499434389140272	0	0.5067873303167421	0.3186813186813186
0.8607466063348417	0.8823529411764706	0.8715497737556561	2	0.5067873303167421	0.3186813186813186
